author,text,likes,published_at
@SunilNepali-l5p9s,"यो सलाप भ्रष्टाचारी बलात्कृत बलात्कार किन खुल्ला छोडेको यसलाई 
सजाय दिनुपर्छ",0,2025-09-25T10:26:45Z
@nishantbhattarai5365,"Sala chor
Yslaii support garne laii ni manxe Vanna milxa??",0,2025-09-25T08:51:27Z
@pramish.niroula,Yestei ho tesaile kti ko chakkar ma kaile parnu hunna,0,2025-09-24T12:57:45Z
@jayprakash-j3i9s,"reupload this video if possible , so it can reach to many people now",1,2025-09-24T08:22:08Z
@sampatchaudhary2320,महेश बस्नेत ठुलै अपराधी रहेछ यो कुकुरलाई कार्वाही गर्नु जरुरी नै छ।।,1,2025-09-23T09:05:30Z
@sarmilabaniya94,need to viral more,0,2025-09-23T08:34:10Z
@BirkamRokaya,महेश बस्नेतले गरेका प्रमाणहरू खैत नामत अरकै छ,1,2025-09-23T07:01:17Z
@Brsir999,"बलात्करि , गुण्डा भएर पनि जेलबाहिर छ । के भन्नू अझ यस्ताले देशमा सुशासन ल्याउने रे 😢😢",3,2025-09-23T06:53:45Z
@davidwarner7514,mahesh dalle,0,2025-09-23T04:16:48Z
@RohanDahal-mn8nj,Basnet ta gundaiii Ho amaley ko,0,2025-09-22T09:49:17Z
@bhuwanbk-f3m,"यो चोर दलाल बलत्कारि लाई छोड्नु हुन्न
यसको चुरि फुरि धेरै भयको छ",1,2025-09-22T09:00:48Z
@ManikaRai-y7r6k,यो बोकालाई काटेहुन्छ यो उखानेको गु खाने कुकुर हो ।,0,2025-09-22T02:38:33Z
@dpkabhatt5335,🤔,0,2025-09-22T01:49:18Z
@pathakkkk,-,0,2025-09-22T00:50:18Z
@mishreethapa3702,खतम रैछ याे बस्नेत यसलाई जेल हालनु पराे अब ।,1,2025-09-21T17:51:02Z
@NaranK.c-u8m,mahesh kukur ho kp oli ko gu khane mahesh kukur ho,1,2025-09-21T17:30:16Z
@mukeshchand100,महेश डाँका मुर्दाबाद,1,2025-09-21T07:43:13Z
@chakrapun6513,ती महिला पनि त आफ्नो स्वार्थ लिएकी रहीछे। तर त्यो त दानव नै रहेछ।,1,2025-09-21T02:40:07Z
@sanshrestha4829,Balatkari hatyara Emaale ko jhole gunda Mahesh Basnet lai turuntai hathkadi lagayera jailma kochnu parcha natra janta le karbahi garnuparcha,0,2025-09-21T02:28:57Z
@gajendranayak-m8h,यस्लाई पक्राउ जरुरी छ,0,2025-09-21T01:54:24Z
@FootAura47,Xodnu hunna yesta chor laii,1,2025-09-20T19:35:50Z
@FootAura47,Boost,0,2025-09-20T19:35:26Z
@FootAura47,Boost,0,2025-09-20T19:34:52Z
@Socials44,…,0,2025-09-20T17:13:05Z
@GangaBista-w8l,Telai,0,2025-09-20T11:28:51Z
@wiltovert,Chya chya chaya. Kuri kuri kuri kuri kuri,0,2025-09-20T11:28:47Z
@nandani-g2o4z,Boka nai raxa Mula🤣🤣🤣🤣,0,2025-09-20T11:02:18Z
@paljyoraashyang,Gunda ho muji yo,0,2025-09-20T10:28:08Z
@roht1634,Bhogate ahile coma ma,0,2025-09-20T09:52:19Z
@shasanksekharneupane3290,Kina arrest vayena yo aparadhi,0,2025-09-20T09:02:45Z
@RaiKeziah,Yo papi basnet lai soba pathak ko pap lagiyo from hong kong,0,2025-09-20T08:48:50Z
@NainaChamlingrai-x3s,यसलाई तु पक्रेर अनुसन्धान थालिहाल्नु पर्यो,0,2025-09-20T06:09:10Z
@Ceaser778,😂😂😂😂😂Ad praminit huncha bhane yesta fataha laie ajanma jail kochda Ramroo..,0,2025-09-20T05:18:40Z
@RaiKirat-gs8jw,याे एक नम्बर काे बलात्कारी हो हामी सबै जनता लाई प्रमाण छ,1,2025-09-20T03:43:09Z
@TejindraChattri,बलात्कारी साला कुकुर,0,2025-09-19T21:31:02Z
