author,text,likes,published_at
@ptpl0313,3 seatey guithe,1,2026-05-14T10:34:46Z
@anjugurung7178,Harke dharan terai farke😂,0,2026-05-14T10:23:50Z
@sagarrailimbu768,Balen shah is our country future open ur eye genz balen shah needs our support now we have to be one and support balen shah becoz he is our country future,5,2026-05-14T09:34:54Z
@sagarrailimbu768,Now is the time to stand up for our country genz by the power of unity let's support balen now if we don't support balen now our country future is over so let's stand up for balen plz guys for this freedom we have lost so many young genz and we can  let this happen so come and let's join our hand for balen shah,0,2026-05-14T09:33:30Z
@sagarrailimbu768,Sabai genz haru let's be together for balen shah,0,2026-05-14T09:29:30Z
@sagarrailimbu768,Sabai Jana ko ko balen ko support ma hunu huncha ek Vaya Ra autnu parcha let's support balen,0,2026-05-14T09:28:44Z
@sagarrailimbu768,Hamro desh balen shah vayo vana Matra develop huncha future ramro huncha,0,2026-05-14T09:27:31Z
@sagarrailimbu768,Sabai Jana balen ko support ma ralley garnu parcha,0,2026-05-14T09:25:38Z
@Roshatm-q9t,aba herda kheri harka sampang lai jitayara galti ta garenam hami hru le? .. harka bata yeato  soch rakheko thiyna uf,0,2026-05-14T09:22:48Z
@idovlogs114,😂 हर्के पागल सधै एसरि संसद छाडेर हिडे त कति आनन्द हुन्थियो है 😂!  घुर्कि चाहि कसलाइ लाएको होला 😂,1,2026-05-14T09:20:43Z
@AngdawaSherpa-z3r,Balen le paadey pani rajinama magxa ni eni harule ta 😂😂😂,0,2026-05-14T09:07:41Z
@imcoolpramesh,"Kasaile vandeu, j gare pani PM huna paudainau vanera.",0,2026-05-14T08:57:46Z
@Robertkeerati,यो कानुन नमान्नी भेडा साम्सद अरुपर्टिका हरु लाई कार्बाहि गर्नुपर्छ प्रधानमन्त्री ले कुनै काम बिसेस भयेको कारन अर्को कुनै मन्त्री लाई उपस्थिति गर्नु भनि आदेस दिनु मिल्ने कानुन हुदा उहा ले अर्को मन्त्री को उपस्थिति नमान्ने कस्तो भेडा हरु को जहिले झगडा गर्नु मात्र जान्ने हरु त्यो ठाउँ मा बस्नु जरुरि छैन   यिनिहरु सबै को पद खारेज गर्नु जरुरि छ प्ल्ज😮😮,1,2026-05-14T08:36:42Z
@SangmuCesang,"यो सरकार रा स्व पा को सरकार हैन , देस को सरकार हुनु पर्छ, चेतना भया, प्रधान मन्त्री ज्यु ले आफ्नो काम कर्तब्य अधिकार जान्नु जरूरी छ,",1,2026-05-14T08:18:05Z
@Robertkeerati,यो हर्के को सामसद पद चाहि कखारेज गर्नु जरुरि छ,11,2026-05-14T08:15:57Z
@Gaurvi-r8v,Yo harke aafai le rajinama dinu parne ho,2,2026-05-14T08:13:10Z
@reenashakya3359,Yesto veda jasto sansad haru lai ta jail nai halnu parcha… kasto manner less.. teti sunifinudh vanda ni nasunne😡😡😡😡,0,2026-05-14T08:12:50Z
@PrajwalDeula,harkey muji pagal😂,0,2026-05-14T08:10:41Z
@pramilakc2803,Hajur KO students sari ateri rahexa😂😂😂,0,2026-05-14T08:09:57Z
