author,text,likes,published_at
@bishnuprasadneupane853,"जंगल राजकेा प्रचण्ड बाद ले नेपाल र नेपाली केाभबिष्य १०० बर्ष पछि पार्यैा ,

हत्या हिंसा अपहरण , लुट , नागरिक बिष्थापन र आगजनीबाट मुलुक खरानी बनायेा ! 

हर्ककेा चिच्याहटले मुलुकका लागि चित्याहट मात्र हेा ,

चिच्याहटले प्र म  बालेन र मुलुकलाई केहि फरक पर्दैन तर निजकेा नेपाली राजनिति धराशायि पथमा उग्र अग्रसर पथमा लम्किई रहेछ ।",0,2026-05-26T01:42:12Z
@RameshAbju-l9i,Yo cor arajak pasu kukur ho harke...,0,2026-05-26T01:31:25Z
@Syangdan136,Harke pagal ho muji rai rw limbu ko vote le nepal ko pm banxu vanxa guithe 😂,0,2026-05-26T01:15:15Z
@amardiplamsong2125,यो यो अधिकांश क्षेत्री बाहुनले चाहिँ हो। आदिवासी जनजातिबाट चुनिएर गएको नेतृतलाई मन नपराएको यो मान्छेकोले बनाएको न्युज पहिला पनि हेरेकै हो। यसले पनि भीउजको लागि विरोधै मन नभएपनि यो जैरुले पनि पहिला विरोध गरेको हेरेकै हो। भिउजको लागि यसले पनि अनेक जेसो गर्दा रहेछ जे होस् हामीले पनि नियाली आएको छ,0,2026-05-26T00:56:34Z
@nisojraee6486,पत्रकार कस्तो  खालको हो हर्क सरले १५ को २ नियम खोइ त?यो घण्टी पार्टी विपक्षमा हुँदा निलो रिबन बेरेर र बिरोध हर्क गर्दा त्यो चै मर्यादा होर?,0,2026-05-26T00:41:39Z
@TTsJholMoMo,nobody give af about harkeee guithee mu🤫,0,2026-05-26T00:31:47Z
@Suresh.12345,"harke le vanda ta yauta local bus ko Khalasi ko boli mitho huncha, aba aafai bhujnu hos.",0,2026-05-26T00:23:25Z
@binayapaudelneupane7796,Herkelai nilamban gata,0,2026-05-26T00:19:20Z
@DevGurung-e8z,हर्के बौलाएछ आफू के  गर्दैछ यस्तो घिनलाग्दो व्यबहार देखाउदै बेइज्जत,0,2026-05-25T23:31:51Z
@sujanlungeli2334,सार्कको भूमिका सही छ । बालेनले आफ्नो ब्यवाहारलाई सुधार्नु जरुरी छ ।,0,2026-05-25T23:15:54Z
@BuddhimanPandey-r6b8y,🔔🔔🔔,0,2026-05-25T23:14:02Z
@kumarshil-9283,हर्के भनेको बुद्धि नहुने QR ग्याङको मासिने झुण्ड हो ।,1,2026-05-25T23:02:19Z
@amritgharti2268,𝕙𝕒𝕣𝕜𝕖 𝕡𝕒𝕘𝕒𝕝 𝕝𝕒𝕚 𝕟𝕚𝕝𝕒𝕞𝕓𝕒𝕟 𝕘𝕒𝕣𝕟𝕦 𝕡𝕒𝕣𝕩𝕒 𝕒𝕥𝕚 𝕟𝕒𝕚 𝕧𝕦𝕜𝕕𝕒𝕚 𝕩𝕒,0,2026-05-25T23:01:21Z
@Bijaygrg01,Biased news,0,2026-05-25T22:00:17Z
@devlimbu4746,स्याल लाई काल आयो भने शहर पस्छ अरे भने जस्तै हर्क लाई दशा लागेर सांसद भवन पसेको जस्तो छ।,0,2026-05-25T21:16:55Z
@jibanpurie2396,harke pagal,0,2026-05-25T20:53:04Z
@-Rajendra-Singh-Saud-,Hark ko chakh jalxa ke balen ko kam dekhe ra balen ko bra bro grnuko lagi hark ko wakad pani hunu pryo ni,0,2026-05-25T19:46:14Z
@himal4028,Balen ji Lai vannu paryu 5. 6 pad sathama lera baseni Hoina. Balen ji le eak patak mukh dekhi dine vandine thadai,0,2026-05-25T19:18:51Z
@NagendraBhandari-v4m,३ सिटे राइ काइलो त झोला बोकेर गाउ छोड्यो त,0,2026-05-25T19:18:50Z
@DineshBasnet-c5b,Dharan people are regretting now voting for harke😂,0,2026-05-25T19:14:20Z
@saudmohan5341,Yo harke pagal nai ho,0,2026-05-25T19:09:41Z
@MadhuRokaha-iz6or,HARKE LE SANSAD BAT BAHIR GAYEKOLE NIJ LAI TYO DIN KO VATTA DIN HUDAIN. PM HUN NAKHOJ HARKE.,0,2026-05-25T19:01:51Z
@ShushilKc-p6o,अब यसरी हुँदैन ! हर्क पनि पुरानै लाइनमा छ मत्लब हर्क भनेको ओलि प्रचण्ड देउवा पछिको त्यही अर्को रुप हो! त्यसैले अबको चुनाव मा हर्के पास्टर लाई बहिष्कार गरौं 🙏,0,2026-05-25T19:01:28Z
@TejSampang,जय हर्क हर्कले मात्र यो देशलाई बचाउन सक्छ,0,2026-05-25T18:57:22Z
@balramreshmi8675,Ghanti news😊😊😊😊😊,0,2026-05-25T18:56:05Z
@TejSampang,"हर्क साम्पाङको यो बिरोध पनि हैन र अमर्यादित पनि पटक्कै छैन मर्यादा बिपरित कदापी छैन, हर्क पछाडी नफर्क अघि बढिरहनु",0,2026-05-25T18:53:49Z
@resammagar4481,हर्के पास्टर बौलाहा प्रधानमन्त्री बन्न नपायेर पागल भयेर मर्न लागी सक्यो यो हर्के दोर्सो केपि हो यो अराजक नालायेक कूलग्गार हो हर्के यो देस को लागी घातक रोग हो,0,2026-05-25T18:50:29Z
@dhangurung215,Jai mato 🙏🏻🙏🏻🙏🏻,0,2026-05-25T18:15:28Z
@xnxodin,Same law goes to Balen too.,0,2026-05-25T18:07:03Z
@sumantmg077,"संसदीय अभियास कि हर्कबाद
के प्रश्न गरेको?
सीधै भन्दिनुन 
संसदिय अभियास भित्र पर्दैन विरोध गरेको  भनिदिनुन बरु
सोतन्त्र पत्रकारिता गर्नुस  सर",0,2026-05-25T18:06:04Z
@ishwaripoudel5790,राम्रो कामलाई राम्रो भन्न नसक्नु सही सत्ते छुट्याऊन नसक्नु कस्तो देश कती पछाडी परीसक्यो मिलेर काम गर्नुपर्ने बेला तर यि दुईचार जनाले बिरोध गर्दैमा आऊटनै गर्नुपर्छ यिन्लाई फटाहाहरूलाई डाहा भएको मात्र हो यि चोरहरूले देश बनाऊॅदैन 🙏🙏💕💕🇳🇵🇳🇵,0,2026-05-25T17:50:05Z
@rawalroshan-l4h3y,यो दिमागमा गू भरिएको भेडो,0,2026-05-25T17:27:29Z
@nawarajhayu5727,"साला :-  ३ सिटे   पार्टी ले
१८२  सिटे  पार्टी लाई  ,, नियम कानुन  न सिका ल /   हर्के",0,2026-05-25T17:19:33Z
@anshuprabishnatr2565,Balen na aayepaxi Hark sampang Lai Gen Z harule bolayera gako ho vanne kura duniya media ma xa Ani k adhar ma vaneko Hark sampang aafai PM banna gako vanera. Hawa....,0,2026-05-25T17:03:14Z
@rupabhagwan,Harkale Afno manche bachaune . Ra ramro topic / progressive topic liyaune knowledge na bha ko manchhe raichhan,0,2026-05-25T16:58:29Z
@koshishlama4736,Harke😂😂,0,2026-05-25T16:47:06Z
@shyambahadurtamang7888,नेपाली माटो सुहाउँदो नेता भनेको माननीय हर्क सामपाङ नै हुनुहुन्छ । नेपाली जनताले  अहिले बुझ्दैन ।,0,2026-05-25T16:43:18Z
@Gaighat88,Harke lai nilamban garnu parchha.,1,2026-05-25T16:42:16Z
@sabinashrestha2935,Purai ego ho corrupted gov huda afai pani laune le ahile kina nihu matra khojirako ho,0,2026-05-25T16:40:28Z
@Shresthabodh,"Harka bro ,, please ask right question",0,2026-05-25T16:31:32Z
@Shresthabodh,"Harka baulayo. Frustrated and un- discipline harka. Bo violence. Bro chill. Visual talk then word. Bro harka, you getting oli, new generation oli. Pagati pachena brother",0,2026-05-25T16:30:31Z
@राजसँस्था,पागल हर्के।।।।,0,2026-05-25T16:23:35Z
@Believe1980,Patrakar bhai .. 🔔 haru le k k garyo pahila samsad bhawan ma thiyo pani vanana.. alik fair play gara afno kaam ko .. rabi thug le thukeko thau ma kaam payai.. harka ko birod ma news ta halnu paryo haina .. malik haru lai happy parnu … balen is danger for country .. harda mitho laddo vitra ko bish ho balen time will tell .. you all supporter will regret badly ..,0,2026-05-25T16:23:27Z
@binayashrestha2639,झोले पत्रुकार,0,2026-05-25T16:13:43Z
