author,text,likes,published_at
@SharmilaAryal-r5q,चउदअनचललेसुनुकेपिकोकुरादुखिभए१कुनामाचुपबसनिनित३५बसमेनतकोफलसमानभो😢😢😢७जलाएनिथोरै,0,2026-04-06T14:17:06Z
@SharmilaAryal-r5q,कतिभनुकेपिलेगटाकोछाबिनगरनपरदैन२३गटेको२४नैजाकेभएहुथियोछाडाछोडेकोबाभनिजेनजितिमराभरउटेहुन,0,2026-04-06T14:09:51Z
@SharmilaAryal-r5q,जवाफकेपिहुनुपरछ😢😢३५बरसादेसचुसेरपुगेनररडसकोगरनपरनितोठानपाएरछटपटिभोमलाइधुवाछुटोभनेदेखिसुवाउछ,0,2026-04-06T14:04:45Z
@SharmilaAryal-r5q,जवाफकेपिहुनुपरछ😢😢,0,2026-04-06T13:57:44Z
@SharmilaAryal-r5q,3दिनअगिदेखिअगाडिआदोलकेपिलेहेपेकोहप😢😢😮😮,0,2026-04-06T13:56:36Z
@SharmilaAryal-r5q,ऐथारथदरतानगरदातेतिरिसउठछभनेजनताको७६जेयानजादाबालाइकानुननियाममाबसेरपुरागरियोकेपिबाजवाफचाइयोदेसकोउचतकोरछकैभछेकभएरएसतोभाकोहो4चपटिसुनिसकियो,0,2026-04-06T13:52:45Z
@YagyaKhadka-l2s2p,Khata. Bhasan  galata,0,2026-04-05T17:34:40Z
@laxmideviadhikari1224,desh le bokeko rin ko kura khai,0,2026-04-04T01:09:53Z
@GangaGuragai-f7i,होकेपेलेअरिगालखनिएचहि खनिनुपर्छभन्थियोऊखाने तिमेर्कोअहम्तालेहो,0,2026-04-03T17:09:25Z
@NirSinghpanthiNirajalea,Kp chor aputtri Sala murdabad,0,2026-04-03T14:50:05Z
@Kandara-x1k,Tyo bela kangresh &  aemalelai sattaako unmad lageko ho jpr garne jpt bhanne .aemaleko agadi ko bolne  kole ke bhanna sakchha ? bhanne. Ani face book tiktok matra banda nagareko bhaya aandolan nai hune thiyana  aafai le khaneko khaaldoma aafai pareko ho.timiharu.,0,2026-04-03T13:59:56Z
@KaliDas-o9u,Thukk,0,2026-04-02T03:53:10Z
@MohanBahadur-s4d,Yo kp,0,2026-04-01T16:48:27Z
@RudraRaj-o7g,go back,0,2026-04-01T00:09:45Z
@AshokMahato-y1f,एमाले मुर्दाबाद,0,2026-03-31T19:38:12Z
@domprasadparajuli1427,फटा को कुरा  सुनौं  है भ्रष्टाचारी को नाइके  के भन्दै छा🎉,0,2026-03-31T14:57:46Z
